[2025-07-06T03:00:02.261290+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-06T04:00:01.963080+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-06T05:00:02.470228+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-06T06:00:03.511496+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-06T07:00:02.273433+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-06T08:00:01.977844+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-06T09:00:01.694864+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-06T10:00:02.372143+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-06T11:00:02.100444+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-06T12:00:01.760691+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-06T13:00:02.413112+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-06T14:00:02.047886+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-06T15:00:01.716029+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-06T16:00:02.505390+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-06T17:00:03.159578+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-06T18:00:01.815300+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-06T19:00:04.210369+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-06T20:00:03.625647+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-06T21:00:03.348211+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-06T22:00:03.274376+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-06T23:00:02.628320+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
[2025-07-07T00:00:02.412415+00:00] EMA: 117.67, StdDev: 171.24, Threshold: 340.29
